;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
;;;T;T;;;
;;;;;;;
1;2;;11;12;;21;22
;;;;;;;
3;4;;13;14;;23;24
;;;;;;;
5;6;;15;16;;25;26
;;;;;;;
7;8;;17;18;;27;28
;;;;;;;
9;10;;19;20;;29;30E
;;;;;;;
